Ra_D,Nu,,,
48.6,1.320518108,,,
66.6,1.961551106,,,
86.7,2.723952141,,,
106,3.338618932,,,
132.5875879,3.97598058,,,
167.8221977,3.531912768,,,
224.690455,4.169868001,,,
292.067667,4.917990217,,,
380.3753144,5.775344995,,,
478.3457043,6.915648665,,,
581.0548245,7.72231959,,,
686.9952412,8.648714958,,,
861.5463109,9.714477599,,,
1017.681567,10.71923556,,, 
1074.960922,11.03407377,,,
1514.868374,13.50292615,,,
