Ra_D,Nu
50.2,1.28
65.3,1.517360477
94.5,1.941628584
125,2.282481214
229,3.068982129
363,3.725404954
526,4.558433747
716,5.355604161
975,6.192326881
1360,7.37227357
1840,8.449442146
2700,10.0933099
3730,11.58610082
4670,12.89531321
6150,14.59118716
