Ra_D,Nu
51.690299339477,1.48708361886598
55.0313815196635,1.51075962788626
63.7107617815735,1.84345214359537
84.0353966634339,2.26168621912248
105.205269068255,2.71711667592167
118.638545977299,2.98598584748865
133.089610002458,3.26431145044947
145.458198516481,3.5871451656665
146.972279185549,3.44017761095726
152.455268464167,3.64416377368519
181.152134123119,4.28695845342111
190.823639877458,3.94307641654553
225.573903998658,4.76148649450701
295.984061633745,5.81122147288769
300.68845980067,6.18787669869258
313.481944330892,5.96578487756929
346.232580297598,6.80042158600373
386.381462930257,7.39544083551302
420.071529464115,7.91695344893196
486.242545845173,8.83836135954278
499.048830391491,8.43223656304964
568.718020219637,9.66284593306369
618.34930845824,10.7300710951492
700.916914838432,11.4875147392917
770.055504954319,12.5578472513233
973.945471148756,13.446708954663
979.145829918836,14.2433102103192
1151.1488231037,15.0909412312037
1478.893660839,16.0751950743671
1616.23813597446,17.119143285473
1794.16482744311,18.0415973404091
2098.32218307884,18.9161537593081
