Ra_D,Nu
35.4,1
49.8,1.25
64.8,1.57
85.1,1.91
108.8,2.2
141.2,2.52
171.0,2.82
213.4,3.23
281.1,3.84
343.0,4.29
411.6,4.89
457.3,5.18
629.9,6.24
