Ra_D,Nu
37.6,1.00
45.5,1.22
64.4,1.71
79.5,2.14
96.7,2.53
141.0,3.32
183.0,3.85
245.0,4.49
317.0,5.23
406.0,5.84
490.0,6.53
711.0,7.93
882.0,8.88
1040.0,9.76
1490.0,11.80
1780.0,12.97
