Ra_D,Nu,,,
51.2,1.320518108,,,
69.6,1.961551106,,,
98.1,2.723952141,,,
128,3.338618932,,,
170,3.97598058,,,
226,4.882639576,,,
281,5.556059818,,,
347,6.240641681,,,
447,7.400015995,,,
551,8.651852844,,,
686,9.880120174,,,
831,11.14306065,,,
960,12.48114854,,,
1090,13.50470999,,,
1210,14.38695187,,, 
1660,16.91459611,,,
1900,18.14537847,,,
