Ra_D,Nu
132.216948216342,3.28665828545435
181.41089516355,4.28550465303082
201.010073225656,4.55014861415618
308.220404552589,6.40813906092541
368.834623907468,7.86965575578457
555.967628053218,11.1784024207085
730.905762904408,11.9707403066442
874.644728871774,13.1527102998311
1083.06236603513,14.954783642765
1364.27207612821,17.5960686909565
1646.58501380964,19.0052933135251
1793.5474518603,19.8364005754378
2056.45311209862,20.5273791707098
2278.62714791966,21.7950121276399
2635.06953024285,22.3619715687663
3290.99128840404,25.4258201551703
4363.66583278409,27.6982006662482
5785.97080074358,30.9585862314116
7477.60252337315,33.7254463591656
9024.9653787199,35.5028860242858
