Ra_D,Nu
30.1,1.00
41.8,1.00
54.9,1.36
69.6,1.71
89.5,2.11
116,2.53
143,2.84
174,3.17
216,3.56
260,3.95
332,4.48
400,5.06
438,5.28
484,5.68
735,7.12
