Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda=delta/(r+l),Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
3000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,1140000000.0,1220.97543,1.112717437,11.0,0.0101,0.362,34.8,0.936,2.34,0.324,0.456,21.1,4.26e-06,4.26e-06,4.71e-11,2.13e-05,2.13e-05,2.31e-10,0.201,0.204,0.201,3c4c87ff
5000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,1910000000.0,2034.95905,1.854529062,10.1,0.00917,0.198,37.5,1.01,2.88,0.389,0.562,31.5,3.85e-06,3.85e-06,7.14e-11,1.94e-05,1.94e-05,3.43e-10,0.199,0.208,0.199,31678dff
10000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,3810000000.0,4069.918101,3.709058126,10.7,0.00974,0.105,32.8,0.882,4.15,0.532,0.811,58.8,4.16e-06,4.16e-06,1.5e-10,2.46e-05,2.46e-05,6.38e-10,0.169,0.235,0.169,27898aff
20000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,7620000000.0,8139.836202,7.418116251,13.4,0.0123,0.0661,27.5,0.74,6.22,0.792,1.21,141.0,2.83e-06,2.83e-06,4.67e-11,1.94e-05,1.94e-05,2.01e-10,0.146,0.233,0.146,2eaa7eff
40000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,5.0,0.2,0.407,1.0,0.407,0.00288,1100.0,15200000000.0,16279.67241,14.8362325,16.5,0.015,0.0406,19.8,0.534,9.21,1.16,1.8,319.0,4.07e-06,4.07e-06,1.12e-10,2.77e-05,2.77e-05,4.81e-10,0.147,0.232,0.147,68c85cff
100.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,38100000.0,99.99798775,0.0370905809999999,2.17,0.000806,0.869,199.0,5.34,0.102,0.0145,0.0199,0.0325,9.59e-07,9.59e-07,5.89e-13,9.97e-07,9.97e-07,2.49e-12,0.962,0.236,0.962,03a0ffff
300.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,114000000.0,299.9939631,0.111271744,6.12,0.00227,0.816,70.1,1.88,0.367,0.0522,0.0717,0.43,2.7e-06,2.7e-06,7.76e-12,6.1e-06,6.1e-06,3.39e-11,0.443,0.229,0.443,03a0ffff
500.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,191000000.0,499.9899386,0.185452906,8.8,0.00326,0.704,48.7,1.31,0.582,0.082,0.114,1.1,3.88e-06,3.88e-06,1.97e-11,1.47e-05,1.47e-05,8.79e-11,0.265,0.224,0.265,03a0ffff
1000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,381000000.0,999.9798775,0.3709058129999999,15.8,0.00588,0.634,26.8,0.722,1.2,0.175,0.233,4.59,3.5e-06,3.5e-06,9.43e-12,1.66e-05,1.66e-05,3.65e-11,0.211,0.258,0.211,440558ff
2000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,762000000.0,1999.959755,0.7418116249999999,13.2,0.00488,0.263,32.2,0.866,1.4,0.191,0.273,6.92,2.9e-06,2.9e-06,1.52e-11,1.49e-05,1.49e-05,7.25e-11,0.195,0.209,0.195,432f79ff
3000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,1140000000.0,2999.939631,1.112717437,13.5,0.005,0.18,32.0,0.861,1.71,0.223,0.334,9.81,2.94e-06,2.94e-06,2.32e-11,1.83e-05,1.83e-05,1.05e-10,0.161,0.221,0.161,3e4886ff
5000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,1910000000.0,4999.899386,1.854529062,16.7,0.0062,0.134,25.7,0.692,2.39,0.312,0.466,20.1,3.6e-06,3.6e-06,4.79e-11,2.23e-05,2.23e-05,2.2e-10,0.162,0.217,0.162,31668dff
10000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,3810000000.0,9999.798775,3.709058126,19.4,0.00719,0.0775,23.3,0.627,3.57,0.459,0.696,44.9,4.4e-06,4.4e-06,1.12e-10,2.92e-05,2.92e-05,4.97e-10,0.151,0.226,0.151,2a8a8bff
20000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,7620000000.0,19999.59755,7.418116251,24.6,0.00913,0.0492,18.4,0.496,5.27,0.676,1.03,107.0,2.82e-06,2.82e-06,3.43e-11,1.92e-05,1.92e-05,1.53e-10,0.147,0.225,0.147,33ad7bff
50000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.5025,0.000833333,0.229,1.0,1.0,1.0,1.0,1.0,0.00707,2700.0,19100000000.0,49998.99387,18.54529063,33.4,0.0124,0.0267,13.8,0.372,8.77,1.1,1.71,310.0,4.82e-06,4.82e-06,1.07e-10,3.13e-05,3.13e-05,4.84e-10,0.154,0.221,0.154,82d24fff
100.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,38100000.0,241.9951304,0.0370905809999999,5.52,0.000846,0.912,86.4,2.32,0.129,0.0184,0.0252,0.0524,2.64e-06,2.64e-06,9.58e-13,5.57e-06,5.57e-06,4.11e-12,0.475,0.233,0.475,03a0ffff
300.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,114000000.0,725.9853908,0.111271744,13.7,0.0021,0.753,42.6,1.15,0.374,0.0527,0.073,0.447,5.07e-06,5.07e-06,8.06e-12,2.47e-05,2.47e-05,3.55e-11,0.205,0.227,0.205,03a0ffff
500.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.51,0.003333333,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,191000000.0,1209.975652,0.185452906,23.5,0.0036,0.778,26.6,0.716,0.678,0.0999,0.132,1.44,7.88e-06,7.88e-06,2.39e-11,3.88e-05,3.88e-05,9.21e-11,0.203,0.26,0.203,03a0ffff
1000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,381000000.0,2419.951304,0.3709058129999999,36.1,0.00553,0.596,18.5,0.497,1.19,0.174,0.232,4.51,5.21e-06,5.21e-06,9.3e-12,3.02e-05,3.02e-05,3.59e-11,0.172,0.259,0.172,440558ff
2000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,762000000.0,4839.902607,0.742,28.5,0.00437,0.236,22.3,0.601,1.42,0.395,0.278,7.36,9.13e-06,9.13e-06,1.28e-10,4.08e-05,4.08e-05,6.57e-10,0.224,0.195,0.224,43347dff
3000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,1140000000.0,7259.853908,1.11,30.0,0.0046,0.165,22.2,0.598,1.7,0.232,0.333,10.5,3.97e-06,3.97e-06,2.3e-11,2.19e-05,2.19e-05,1.13e-10,0.181,0.204,0.181,3e4986ff
5000.0,0.38633,1.9629354,7.175144213,865.0,1.252,2.62e-06,0.245,0.505,0.0016666669999999,0.229,0.2,5.0,2.42,1.0,2.42,0.0171,6520.0,1910000000.0,12099.75652,1.85,33.6,0.00514,0.111,19.6,0.527,2.28,0.298,0.446,18.7,4.4e-06,4.4e-06,4.36e-11,2.76e-05,2.76e-05,2.04e-10,0.16,0.213,0.16,31668dff
