Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda,Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
500.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,552000000.0,183.0015328,0.16220894,3.73,0.00331,0.816,107.0,3.11,0.41,0.0523,0.0744,0.708,2.93e-06,2.93e-06,5.88e-11,8.49e-06,8.49e-06,3.2e-10,0.345,0.184,0.345,03a0ffff
750.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,829000000.0,274.5022992,0.243313409,5.13,0.00455,0.747,73.8,2.15,0.605,0.0771,0.11,1.6,4.08e-06,4.08e-06,1.33e-10,1.4e-05,1.4e-05,7.37e-10,0.292,0.18,0.292,03a0ffff
1000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,1100000000.0,366.0030656,0.324417879,6.32,0.0056,0.691,58.9,1.71,0.781,0.0995,0.142,2.73,2.5e-06,2.5e-06,2.83e-11,9.49e-06,9.49e-06,1.58e-10,0.263,0.179,0.263,44085aff
2000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,2210000000.0,732.0061313,0.648835758,5.16,0.00457,0.282,65.2,1.9,0.994,0.118,0.18,1.93e-07,2.14e-06,2.14e-06,4.37e-11,8.75e-06,8.75e-06,2.36e-10,0.244,0.185,0.244,3f4987ff
3000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,3310000000.0,1098.009197,0.973253637,9.64,0.00855,0.351,37.0,1.08,1.63,0.205,0.296,13.4,4.26e-06,4.26e-06,1.36e-10,1.97e-05,1.97e-05,8.03e-10,0.217,0.169,0.217,3b7b95ff
5000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.505,0.0016666669999999,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,5520000000.0,1830.015328,1.622089396,13.4,0.0119,0.292,23.4,0.681,2.38,0.298,0.432,30.3,7.03e-06,7.03e-06,3.11e-10,4.17e-05,4.17e-05,1.79e-09,0.169,0.174,0.169,2a9c8bff
10000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.5025,0.000833333,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,11000000000.0,3660.030656,3.244178792,15.0,0.0133,0.163,22.0,0.641,3.42,0.422,0.62,64.9,4.76e-06,4.76e-06,8.33e-11,3.06e-05,3.06e-05,4.81e-10,0.156,0.173,0.156,69c85cff
12000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.5025,0.000833333,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,13300000000.0,4392.036787,3.89301455,15.8,0.014,0.144,19.3,0.561,3.78,0.466,0.686,80.9,5.6e-06,5.6e-06,1.05e-10,3.72e-05,3.72e-05,6.05e-10,0.15,0.173,0.15,88d350ff
15000.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.5025,0.000833333,0.341,5.0,0.2,0.366,1.0,0.366,0.00102,1130.0,16600000000.0,5490.045984,4.866268187,16.7,0.0148,0.122,18.3,0.533,4.28,0.523,0.776,102.0,6.66e-06,6.66e-06,1.35e-10,4.45e-05,4.45e-05,7.68e-10,0.15,0.176,0.15,bade50ff
100.0,0.3317999999999999,0.62201748,4.346717088,829.0,1.268,9.05e-07,0.149,0.51,0.003333333,0.341,1.0,1.0,1.0,1.0,1.0,0.00279,3080.0,110000000.0,100.0008376,0.0324417879999999,2.25,0.00073,0.901,183.0,5.34,0.0692,0.00901,0.0126,0.0208,1.06e-06,1.06e-06,1.83e-12,1.13e-06,1.13e-06,1e-11,0.942,0.183,0.942,03a0ffff
