Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda,Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
100,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,19000000.0,35.19936298,0.034842587,1.0,,,600.0,14.5,,,,,,,,,,,,,,03a0ffff
200,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,38100000.0,70.39872596,0.069685175,2.03,0.00201,1.15,292.0,7.06,0.351,0.0426,0.0635,0.251,1.74e-06,1.74e-06,1.34e-12,4.41e-06,4.41e-06,4.54e-12,0.396,0.296,0.396,03a0ffff
300,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,57100000.0,105.5980889,0.104527762,2.24,0.00222,0.85,262.0,6.32,0.469,0.062,0.0848,0.272,1.94e-06,1.94e-06,2.45e-12,4.56e-06,4.56e-06,8.49e-12,0.426,0.288,0.426,03a0ffff
500,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,95200000.0,175.9968149,0.174212937,3.54,0.0035,0.804,161.0,3.89,0.854,0.113,0.154,1.03,3.06e-06,3.06e-06,8.31e-12,8.78e-06,8.78e-06,2.94e-11,0.349,0.283,0.349,03a0ffff
1000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,190000000.0,351.9936298,0.348425874,5.19,0.00514,0.59,103.0,2.49,1.5,0.197,0.271,5.86,2.26e-06,2.26e-06,3.42e-12,7.52e-06,7.52e-06,1.31e-11,0.3,0.261,0.3,03a0ffff
2000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,381000000.0,703.9872596,0.696851748,7.91,0.00783,0.449,63.2,1.53,2.79,0.384,0.505,20.7,3.4e-06,3.4e-06,1.12e-11,1.42e-05,1.42e-05,3.8e-11,0.239,0.296,0.239,420355ff
3000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,571000000.0,1055.980889,1.045277623,10.1,0.01,0.383,48.2,1.16,3.8,0.523,0.688,40.0,4.39e-06,4.39e-06,2.2e-11,2.06e-05,2.06e-05,7.62e-11,0.213,0.289,0.213,3d4a87ff
5000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,952000000.0,1759.968149,1.742129371,7.72,0.00764,0.176,58.7,1.42,3.95,0.472,0.714,39.6,3.42e-06,3.42e-06,2.67e-11,1.63e-05,1.63e-05,1.02e-10,0.21,0.261,0.21,355d8bff
10000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,1900000000.0,3519.936298,3.484258742,10.0,0.00993,0.114,42.8,1.03,6.1,0.731,1.1,104.0,4.57e-06,4.57e-06,7.3e-11,2.58e-05,2.58e-05,2.88e-10,0.177,0.254,0.177,355d8bff
20000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,3810000000.0,7039.872595,6.968517484,12.2,0.0121,0.0694,37.0,0.893,8.82,1.04,1.6,243.0,5.6e-06,5.6e-06,1.78e-10,3.49e-05,3.49e-05,7.32e-10,0.161,0.243,0.161,229d87ff
30000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,5710000000.0,10559.80889,10.45277623,16.4,0.0162,0.0621,25.2,0.608,12.0,1.4,2.17,521.0,7.37e-06,7.37e-06,3.95e-10,4.81e-05,4.81e-05,2.01e-09,0.153,0.196,0.153,64c65eff
70000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.5025,0.000833333,0.152,10.0,0.1,0.352,1.0,0.352,0.00531,1010.0,13300000000.0,24639.55409,24.3898112,20.9,0.0207,0.0339,21.4,0.517,18.4,2.13,3.33,1320.0,5.3e-06,5.3e-06,1.38e-10,3.58e-05,3.58e-05,7.76e-10,0.148,0.178,0.148,fde725ff
100,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,19000000.0,44.1992001,0.034842587,1.0,,,531.0,12.8,,,,,,,,,,,,,,03a0ffff
200,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,38100000.0,88.39840021,0.069685175,2.42,0.00191,1.1,216.0,5.21,0.367,0.0445,0.0663,141.0,1.52e-06,1.52e-06,1.48e-12,3.54e-06,3.54e-06,5.03e-12,0.428,0.294,0.428,03a0ffff
