Ra*_key,Porosity,Perm,l,H,Tortuosity,Da,Re_N.D.,tau_f,kinVisc,C_f,ks/kf,kf/ks,kf/km,Pr_f,nu/alpha_m,Pr_e,Pr_p,Ra_f,Ra*,Ra*/Pr_p,Nu,Nu/Pr_p,Nu/(Ra* /40),delta_thermal,Lambda,Re_l,"Re_z,K",Re_K,E_kin_z,Epsilon_tot,Epsilon_th,Epsilon_kin,Std_tot,Std_th,Std_kin,DEpsTot,DEpsKin,DEpsTh,Osc
300,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,57100000.0,132.5976003,0.104527762,2.86,0.00226,0.864,181.0,4.38,0.509,0.0675,0.0921,0.623,1.79e-06,1.79e-06,2.91e-12,4.01e-06,4.01e-06,1.01e-11,0.448,0.287,0.448,03a0ffff
500,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,95200000.0,220.9960005,0.174212937,4.24,0.00334,0.767,119.0,2.87,0.852,0.113,0.154,1.8,2.67e-06,2.67e-06,8.41e-12,7.1e-06,7.1e-06,3.03e-11,0.377,0.277,0.377,03a0ffff
1000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,190000000.0,441.992001,0.348425874,6.27,0.00494,0.567,75.0,1.81,1.49,0.196,0.27,5.84,2.02e-06,2.02e-06,3.42e-12,6.67e-06,6.67e-06,1.33e-11,0.303,0.257,0.303,03a0ffff
2000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,381000000.0,883.9840021,0.696851748,10.0,0.00789,0.453,44.2,1.07,2.84,0.391,0.513,21.3,3.26e-06,3.26e-06,1.17e-11,1.35e-05,1.35e-05,3.95e-11,0.241,0.295,0.241,03a0ffff
3000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,571000000.0,1325.976003,1.045277623,12.6,0.00989,0.379,33.7,0.814,3.82,0.526,0.691,40.5,4.18e-06,4.18e-06,2.23e-11,1.88e-05,1.88e-05,7.79e-11,0.222,0.287,0.222,3d4a87ff
5000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,952000000.0,2209.960005,1.742129371,8.89,0.00701,0.161,45.9,1.11,3.8,0.456,0.688,37.8,3.13e-06,3.13e-06,2.52e-11,1.5e-05,1.5e-05,9.74e-11,0.209,0.259,0.209,355d8bff
10000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,1900000000.0,4419.920011,3.484258742,10.8,0.00851,0.0976,36.2,0.873,5.81,0.698,1.05,94.5,3.82e-06,3.82e-06,6.48e-11,2.04e-05,2.04e-05,2.59e-10,0.187,0.25,0.187,355d8bff
20000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,3810000000.0,8839.840019999998,6.968517484,15.2,0.012,0.069,26.6,0.643,11.4,1.46,2.07,450.0,6.12e-06,6.12e-06,3.02e-10,3.23e-05,3.23e-05,1.27e-09,0.19,0.238,0.19,229d87ff
30000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,5710000000.0,13259.76003,10.45277623,17.3,0.0137,0.0523,23.8,0.574,12.3,1.55,2.22,585.0,6.24e-06,6.23e-06,3.98e-10,3.52e-05,3.52e-05,1.82e-09,0.177,0.219,0.177,64c65eff
70000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.5025,0.000833333,0.152,5.0,0.2,0.442,1.0,0.442,0.00667,1270.0,13300000000.0,30939.44007,24.3898112,22.6,0.0178,0.0292,15.7,0.38,16.7,2.09,3.03,1130.0,4.52e-06,4.52e-06,1.05e-10,3.07e-05,3.07e-05,5.19e-10,0.147,0.202,0.147,fde725ff
100,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,19000000.0,99.99819027,0.034842587,2.14,0.000745,0.855,210.0,5.08,0.151,0.0201,0.0274,0.0553,8.74e-07,8.74e-07,2.59e-13,8.97e-07,8.97e-07,9.06e-13,0.974,0.286,0.974,03a0ffff
200,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,38100000.0,199.9963806,0.069685175,4.29,0.00149,0.857,105.0,2.53,0.362,0.0481,0.0654,0.319,1.75e-06,1.75e-06,1.5e-12,3.02e-06,3.02e-06,5.31e-12,0.58,0.282,0.58,03a0ffff
300,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,57100000.0,299.9945709,0.104527762,5.91,0.00206,0.787,75.8,1.83,0.537,0.0713,0.0972,0.715,2.41e-06,2.41e-06,3.36e-12,5.19e-06,5.19e-06,1.22e-11,0.465,0.275,0.465,03a0ffff
500,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,95200000.0,499.9909514,0.174212937,8.39,0.00292,0.671,53.1,1.28,0.846,0.111,0.153,1.8,3.43e-06,3.43e-06,8.42e-12,1.21e-05,1.21e-05,3.16e-11,0.284,0.267,0.284,03a0ffff
1000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,190000000.0,999.9819027,0.348425874,15.1,0.00526,0.604,29.3,0.708,1.71,0.236,0.309,7.38,3.09e-06,3.09e-06,4.03e-12,1.38e-05,1.38e-05,1.32e-11,0.223,0.305,0.223,03a0ffff
2000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,381000000.0,1999.963806,0.696851748,20.3,0.00707,0.406,21.7,0.523,2.75,0.379,0.497,19.9,4.13e-06,4.13e-06,1.1e-11,2.21e-05,2.21e-05,3.72e-11,0.187,0.294,0.187,4d1b5dff
3000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,571000000.0,2999.945709,1.045277623,22.4,0.0078,0.298,19.8,0.478,3.47,0.479,0.628,32.9,4.56e-06,4.56e-06,1.82e-11,2.55e-05,2.55e-05,6.35e-11,0.179,0.286,0.179,420355ff
5000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,952000000.0,4999.909514,1.742129371,14.8,0.00515,0.118,29.7,0.717,3.33,0.403,0.602,30.5,3.04e-06,3.04e-06,1.96e-11,1.84e-05,1.84e-05,7.92e-11,0.165,0.248,0.165,3a4681ff
10000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,1900000000.0,9999.819028000002,3.484258742,17.8,0.0062,0.0712,25.4,0.613,4.89,0.588,0.885,68.8,3.52e-06,3.52e-06,4.61e-11,2.06e-05,2.06e-05,1.94e-10,0.171,0.238,0.171,239888ff
20000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,3810000000.0,19999.63805,6.968517484,21.2,0.00738,0.0424,21.3,0.513,6.87,0.807,1.24,140.0,4.12e-06,4.12e-06,1.01e-10,2.76e-05,2.76e-05,4.46e-10,0.149,0.227,0.149,64c65eff
30000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,5710000000.0,29999.45709,10.5,27.4,0.00953,0.0365,15.3,0.368,8.59,1.01,1.55,261.0,5.8e-06,5.8e-06,1.92e-10,4.63e-05,4.63e-05,9.6e-10,0.125,0.2,0.125,9ed745ff
50000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,1.0,1.0,1.0,1.0,1.0,0.0151,2870.0,9520000000.0,49999.09514,17.4,32.1,0.0112,0.0257,14.7,0.354,11.5,1.34,2.08,520.0,3.23e-06,3.23e-06,4.9e-11,2.38e-05,2.38e-05,2.62e-10,0.136,0.187,0.136,fde725ff
100,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,19000000.0,221.9959824,0.0348,4.96,0.000779,0.894,95.6,2.31,0.189,0.0251,0.0341,0.0865,2.23e-06,2.23e-06,4.09e-13,4.44e-06,4.44e-06,1.45e-12,0.501,0.282,0.501,03a0ffff
200,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,38100000.0,443.9919649,0.0697,8.85,0.00139,0.797,59.7,1.44,0.377,0.0497,0.0682,0.342,3.55e-06,3.55e-06,1.62e-12,1.27e-05,1.27e-05,5.81e-12,0.28,0.278,0.28,03a0ffff
300,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,57100000.0,665.9879473,0.104527762,12.6,0.00197,0.755,44.9,1.08,0.566,0.0743,0.102,0.786,4.75e-06,4.75e-06,3.72e-12,2.08e-05,2.08e-05,1.35e-11,0.229,0.276,0.229,03a0ffff
500,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,95200000.0,1109.979912,0.174212937,17.4,0.00273,0.627,35.6,0.86,0.838,0.108,0.152,1.78,5.85e-06,5.85e-06,8.48e-12,2.87e-05,2.87e-05,3.23e-11,0.204,0.263,0.204,03a0ffff
1000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,190000000.0,2219.959824,0.348425874,31.3,0.00491,0.563,20.5,0.494,1.68,0.233,0.305,7.13,4.48e-06,4.48e-06,3.9e-12,2.46e-05,2.46e-05,1.28e-11,0.182,0.305,0.182,03a0ffff
2000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,381000000.0,4439.919649,0.696851748,38.6,0.00605,0.347,17.1,0.413,2.58,0.356,0.467,17.6,5.12e-06,5.12e-06,9.68e-12,3.11e-05,3.11e-05,3.36e-11,0.165,0.288,0.165,420355ff
3000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,571000000.0,6659.879473,1.045277623,42.2,0.00662,0.253,15.8,0.382,3.25,0.448,0.588,28.8,5.42e-06,5.42e-06,1.59e-11,3.42e-05,3.42e-05,5.62e-11,0.158,0.283,0.158,420355ff
5000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,952000000.0,11099.79912,1.742129371,33.5,0.00525,0.121,19.1,0.46,3.49,0.446,0.631,38.1,4.57e-06,4.57e-06,2.26e-11,2.5e-05,2.5e-05,1.01e-10,0.183,0.223,0.183,3d4a87ff
10000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,1900000000.0,22199.59824,3.484258742,36.6,0.00574,0.066,17.8,0.43,4.99,0.604,0.902,72.4,4.63e-06,4.63e-06,4.75e-11,2.98e-05,2.98e-05,2e-10,0.155,0.237,0.155,239888ff
20000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,3810000000.0,44399.19648,6.968517484,55.1,0.00864,0.0496,12.0,0.29,7.58,0.983,1.37,221.0,7.72e-06,7.72e-06,1.4e-10,6.81e-05,6.81e-05,6.41e-10,0.113,0.218,0.113,64c65eff
30000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,5710000000.0,66598.79473,10.45277623,59.7,0.00937,0.0359,12.2,0.295,9.26,1.19,1.68,334.0,7.52e-06,7.52e-06,2.17e-10,5.87e-05,5.87e-05,1e-09,0.128,0.216,0.128,d0df34ff
70000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.5025,0.000833333,0.152,0.2,5.0,2.22,1.0,2.22,0.0335,6370.0,13300000000.0,155397.1877,24.3898112,72.7,0.0114,0.0187,9.6,0.232,13.8,1.75,2.49,813.0,5.65e-06,5.65e-06,7.27e-11,5.13e-05,5.13e-05,3.6e-10,0.11,0.202,0.11,fce725ff
100,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,19000000.0,278.9949509,0.034842587,6.23,0.000779,0.894,81.7,1.97,0.194,0.0258,0.0352,0.091,2.81e-06,2.81e-06,4.31e-13,6.5e-06,6.5e-06,1.53e-12,0.432,0.282,0.432,03a0ffff
200,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,38100000.0,557.9899018,0.069685175,11.1,0.00138,0.793,53.9,1.3,0.381,0.0501,0.0689,0.35,4.16e-06,4.16e-06,1.66e-12,1.71e-05,1.71e-05,5.98e-12,0.243,0.277,0.243,03a0ffff
300,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,57090527.41,836.9848527,0.104527762,15.0,0.00188,0.718,43.0,1.04,0.546,0.0717,0.0987,0.735,4.96e-06,4.96e-06,3.46e-12,2.44e-05,2.44e-05,1.28e-11,0.203,0.27,0.203,03a0ffff
500,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.51,0.003333333,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,95150879.01,1394.974754,0.174212937,25.7,0.00321,0.738,26.9,0.65,0.969,0.134,0.175,2.31,7.55e-06,7.55e-06,1.02e-11,3.65e-05,3.65e-05,3.29e-11,0.207,0.31,0.207,03a0ffff
1000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,190301758.0,2789.949509,0.348425874,38.4,0.0048,0.551,19.4,0.468,1.67,0.231,0.303,7.03,4.76e-06,4.76e-06,3.84e-12,2.68e-05,2.68e-05,1.26e-11,0.178,0.306,0.178,03a0ffff
2000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,380603516.0,5579.899018,0.696851748,47.3,0.0059,0.339,16.3,0.393,2.56,0.353,0.463,17.3,5.35e-06,5.35e-06,9.49e-12,3.32e-05,3.32e-05,3.28e-11,0.161,0.289,0.161,420355ff
3000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,570905274.1,8369.848527,1.045277623,51.4,0.00642,0.246,15.2,0.368,3.21,0.442,0.581,28.2,5.62e-06,5.62e-06,1.55e-11,3.62e-05,3.62e-05,5.53e-11,0.155,0.281,0.155,420355ff
5000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,951508790.1,13949.74754,1.742129371,40.6,0.00506,0.116,19.3,0.467,3.31,0.421,0.598,33.5,4.35e-06,4.35e-06,2.02e-11,2.45e-05,2.45e-05,9.06e-11,0.177,0.223,0.177,3d4a87ff
10000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,1903017580.0,27899.49509,3.484258742,41.4,0.00517,0.0594,18.0,0.434,4.47,0.548,0.809,58.9,4.58e-06,4.58e-06,3.87e-11,2.85e-05,2.85e-05,1.66e-10,0.161,0.233,0.161,239888ff
20000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.298,0.505,0.0016666669999999,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,3806035160.0,55798.99017,6.968517484,62.3,0.00778,0.0447,12.8,0.309,6.91,0.823,1.25,162.0,7.09e-06,7.09e-06,1.15e-10,5.31e-05,5.31e-05,5.63e-10,0.133,0.205,0.133,64c65eff
30000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.2979999999999999,0.505,0.0016666669999999,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,5709052741.0,83698.48527,10.45277623,67.6,0.00844,0.0323,10.9,0.263,8.36,0.993,1.51,211.0,8.46e-06,8.46e-06,1.63e-10,6.96e-05,6.96e-05,6.99e-10,0.122,0.233,0.122,fde725ff
70000,0.4344,4.2657846,11.4177849,901,1.239,5.25e-06,0.2979999999999999,0.5025,0.000833333,0.152,0.1,10.0,2.79,1.0,2.79,0.0421,8010.0,13321123061.0,195296.4656,24.3898112,85.3,0.0107,0.0175,10.2,0.246,14.1,1.64,2.55,722.0,6.08e-06,6.08e-06,7.18e-11,4.96e-05,4.96e-05,3.65e-10,0.123,0.197,0.123,fde725ff
