Re	G	Res	Regime
0.00990	1.00000	865	Darcy
0.01485	1.00003	865	Darcy
0.01980	1.00006	865	Darcy
0.02475	1.00011	865	Darcy
0.02970	1.00017	865	Darcy
0.03465	1.00024	865	Darcy
0.03960	1.00031	865	Darcy
0.04454	1.00040	865	Darcy
0.04949	1.00050	865	Darcy
0.05937	1.00073	865	Darcy
0.06431	1.00086	865	Darcy
0.06925	1.00100	865	Darcy
0.07418	1.00115	865	Darcy
0.07911	1.00135	865	Darcy
0.08404	1.00148	865	Darcy
0.08897	1.00166	865	Darcy
0.09390	1.00185	865	Darcy
0.09882	1.00204	865	Darcy
0.14787	1.00449	865	Darcy
0.19652	1.00774	865	Darcy
0.24469	1.01170	865	non-Darcy
0.29230	1.01629	865	non-Darcy
0.33930	1.02145	865	non-Darcy
0.38564	1.02710	865	non-Darcy
0.43128	1.03320	865	non-Darcy
0.47620	1.03970	865	non-Darcy
0.56384	1.05372	865	non-Darcy
0.60655	1.06115	865	non-Darcy
0.64853	1.06880	865	non-Darcy
0.68979	1.07663	865	non-Darcy
0.73030	1.08471	865	non-Darcy
0.77006	1.09301	865	non-Darcy
0.80947	1.10095	865	non-Darcy
0.84806	1.10924	865	non-Darcy
0.88602	1.11760	865	non-Darcy
1.06644	1.15787	865	non-Darcy
1.23604	1.20167	865	non-Darcy
1.54639	1.28067	865	non-Darcy
1.83323	1.35037	865	non-Darcy
2.10544	1.41093	865	non-Darcy
2.36726	1.46403	865	non-Darcy
2.62117	1.51110	865	non-Darcy
2.73469	1.62942	865	vortex-sh
2.79066	1.68545	865	vortex-sh

