Re	G	Res	Regime
0.03172	1.00000	901	Darcy
0.04757	1.00017	901	Darcy
0.06341	1.00042	901	Darcy
0.07923	1.00073	901	Darcy
0.09504	1.00111	901	Darcy
0.11083	1.00155	901	Darcy
0.12660	1.00206	901	Darcy
0.14235	1.00262	901	Darcy
0.15807	1.00323	901	Darcy
0.18889	1.00745	901	Darcy
0.20504	1.00541	901	Darcy
0.22064	1.00624	901	Darcy
0.23622	1.00700	901	Darcy
0.25139	1.00931	901	Darcy
0.26719	1.00898	901	Darcy
0.28262	1.00998	901	Darcy
0.29802	1.01102	901	non-Darcy
0.31337	1.01209	901	non-Darcy
0.46434	1.02456	901	non-Darcy
0.61025	1.03945	901	non-Darcy
0.75090	1.05593	901	non-Darcy
0.88639	1.07344	901	non-Darcy
1.01698	1.09154	901	non-Darcy
1.14301	1.10991	901	non-Darcy
1.26486	1.12836	901	non-Darcy
1.38286	1.14675	901	non-Darcy
1.60855	1.18303	901	non-Darcy
1.71679	1.20081	901	non-Darcy
1.82227	1.21833	901	non-Darcy
1.92523	1.23555	901	non-Darcy
2.02582	1.25248	901	non-Darcy
2.12434	1.26904	901	non-Darcy
2.22088	1.28528	901	non-Darcy
2.31561	1.30117	901	non-Darcy
2.40869	1.31673	901	non-Darcy
2.58334	1.35048	901	vortex-sh
2.73522	1.39145	901	vortex-sh
2.88793	1.42770	901	vortex-sh
3.03526	1.46289	901	vortex-sh
3.17992	1.49608	901	vortex-sh
3.88466	1.63289	901	vortex-sh
4.42848	1.79046	901	vortex-sh
4.97812	1.91132	901	vortex-sh
5.47624	2.02705	901	vortex-sh
