Name,Fluid,Solid,Porosity,H_over_d,Da,rhoCp_f/rhoCp_m,Pr_f,nu/alpha_m,km_over_kf,Pr_p,Key,Comment,,,,,
Kladias & Prasad [1991],Heptane,Steel,0.444,4.80,0.0000684,0.531,5.7,1.18,9.09,441,Kladias_1991_St_He_H_d_5,"Assuming std. Conditions: 25 °C and p_atm, C_F < 0 with Beavers",,,,,
Schneider [1963],Water,Glass,0.377,36.4,0.000000581,1.46,6.15,3.45,1.22,12135,Schneider_1963_Gl_Wa_H_d_36,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Water,Glass,0.379,17.4,0.00000261,1.45,6.15,3.48,1.22,5770,Schneider_1963_Gl_Wa_H_d_17,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Water,Glass,0.388,10,0.00000862,1.44,6.15,3.5,1.22,3324,Schneider_1963_Gl_Wa_H_d_10,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Water,Glass,0.387,5.6,0.0000272,1.44,6.15,3.5,1.22,1942,Schneider_1963_Gl_Wa_H_d_5,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Water,Glass,0.4,4,0.0000619,1.43,6.15,3.53,1.22,1407,Schneider_1963_Gl_Wa_H_d_4,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Turpentine,Glass,0.383,36.4,0.000000619,0.845,20.91,7.93,3.12,12812,Schneider_1963_Gl_Tu_H_d_36,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Turpentine,Glass,0.393,4,0.0000575,0.839,20.91,7.99,3.12,1518,Schneider_1963_Gl_Tu_H_d_4,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Turpentine,Steel,0.377,8.33,0.0000111,0.523,20.91,2.56,15.62,612,Schneider_1963_St_Tu_H_d_8,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Schneider [1963],Turpentine,Steel,0.345,2.6,0.0000787,0.506,20.91,2.65,15.62,227,Schneider_1963_St_Tu_H_d_2,"Ass. Car-Koz. w. F = 180, Std. Cond., Data provided by Bavandla. ",,,,,
Elder[1967],Water,Glass,0.4,10,0.0000099,1.45,6.9,4.14,1.15,5959,Elder_Gl_Wa_H_d_10,"Ass. Car-Koz. w. F = 180,T = 20 °C., Porosity est., km/kf estimated from Buretta",,,,,
,,,,,,,,,,,,,,,79.2,-0.130625,#DIV/0!
